country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/14/2021,-54,-13,37,-36,-24,6
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/15/2021,-49,-18,-22,-50,-57,17
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/16/2021,-46,-8,24,-49,-54,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/17/2021,-49,-8,18,-46,-52,15
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/18/2021,-54,-15,-21,-51,-53,18
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/19/2021,-50,-6,22,-44,-53,17
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/20/2021,-47,-11,109,-24,-20,6
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/21/2021,-50,-2,153,-24,-20,2
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/22/2021,-49,-10,24,-43,-45,14
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/23/2021,-48,-3,60,-43,-41,13
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/24/2021,-46,1,116,-37,-40,12
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/25/2021,-51,-5,18,-43,-41,14
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/26/2021,-48,1,33,-36,-40,14
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/27/2021,-48,-8,34,-28,-19,8
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,2/28/2021,-51,-2,109,-25,-20,4
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/1/2021,-46,-5,30,-41,-44,13
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/2/2021,-45,0,72,-41,-41,13
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/3/2021,-45,2,68,-39,-41,12
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/4/2021,-56,-11,-32,-46,-43,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/5/2021,-48,1,19,-38,-40,14
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/6/2021,-45,-6,58,-24,-18,7
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/7/2021,-52,-5,54,-30,-21,5
